word,sentyment
odmawiać,negatywny
ukrywać,negatywny
oszukiwać,negatywny
manipulować,negatywny
wykluczyć,negatywny
zniszczyć,negatywny
obalić,negatywny
bezpieczeństwo,pozytywny
bezpieczny,pozytywny
bezpieczna,pozytywny
demokratyczny,pozytywny
demokracja,pozytywny
dialog,pozytywny
dobrobyt,pozytywny
dobrostan,pozytywny
dobry,pozytywny
dobra,pozytywny
dobre,pozytywny
dobrze,pozytywny
dostęp,pozytywny
edukacja,pozytywny
efektywność,pozytywny
efektywny,pozytywny
godność,pozytywny
gospodarka,pozytywny
harmonia,pozytywny
inicjatywa,pozytywny
innowacja,pozytywny
innowacyjność,pozytywny
inwestycja,pozytywny
jedność,pozytywny
kompetencja,pozytywny
kompetentny,pozytywny
kompromis,pozytywny
konstytucja,pozytywny
konstruktywny,pozytywny
kontrola,pozytywny
kooperacja,pozytywny
kultura,pozytywny
leczenie,pozytywny
lepszy,pozytywny
lepsza,pozytywny
modernizacja,pozytywny
nadzieja,pozytywny
naprawa,pozytywny
niezależność,pozytywny
normalność,pozytywny
obywatel,pozytywny
odpowiedzialność,pozytywny
odpowiedzialny,pozytywny
ochrona,pozytywny
odbudowa,pozytywny
otwartość,pozytywny
partnerstwo,pozytywny
perspektywa,pozytywny
pluralizm,pozytywny
pomoc,pozytywny
poprawa,pozytywny
poprawić,pozytywny
porządek,pozytywny
postęp,pozytywny
porozumienie,pozytywny
praworządność,pozytywny
prawość,pozytywny
prawa,pozytywny
prawo,pozytywny
przejrzystość,pozytywny
przyjazny,pozytywny
przyjazna,pozytywny
reforma,pozytywny
rozwój,pozytywny
rozwijać,pozytywny
równość,pozytywny
równouprawnienie,pozytywny
rzeczpospolita,pozytywny
samorząd,pozytywny
siła,pozytywny
skuteczność,pozytywny
skuteczny,pozytywny
solidarność,pozytywny
spokój,pozytywny
sprawiedliwość,pozytywny
sprawiedliwy,pozytywny
sprawny,pozytywny
stabilizacja,pozytywny
stabilność,pozytywny
stabilny,pozytywny
sukces,pozytywny
szacunek,pozytywny
tolerancja,pozytywny
transparentność,pozytywny
uczciwość,pozytywny
uczciwy,pozytywny
ulepszenie,pozytywny
umowa,pozytywny
uprawa,pozytywny
uznanie,pozytywny
walka,pozytywny
wartości,pozytywny
wiedza,pozytywny
wielki,pozytywny
wielka,pozytywny
wola,pozytywny
wolność,pozytywny
współpraca,pozytywny
wsparcie,pozytywny
wzmocnienie,pozytywny
wzrost,pozytywny
zaufanie,pozytywny
zdrowie,pozytywny
zdrowy,pozytywny
zdolność,pozytywny
zgoda,pozytywny
zmiana,pozytywny
zwycięstwo,pozytywny
kompromisowy,pozytywny
aktywny,pozytywny
aktywność,pozytywny
ambitny,pozytywny
ambicja,pozytywny
budowanie,pozytywny
ciągłość,pozytywny
godny,pozytywny
integracja,pozytywny
jawność,pozytywny
jednoczenie,pozytywny
kompetencje,pozytywny
planowanie,pozytywny
programowanie,pozytywny
profesjonalizm,pozytywny
profesjonalny,pozytywny
racjonalność,pozytywny
racjonalny,pozytywny
rozwiązanie,pozytywny
rzetelność,pozytywny
rzetelny,pozytywny
solidny,pozytywny
suwerenność,pozytywny
troska,pozytywny
umiejętność,pozytywny
wiarygodność,pozytywny
wiarygodny,pozytywny
wysiłek,pozytywny
zjednoczone,pozytywny
pomysłowy,pozytywny
rozbudowa,pozytywny
sprawowanie,pozytywny
tworzyć,pozytywny
budować,pozytywny
chronić,pozytywny
dbać,pozytywny
inwestować,pozytywny
modernizować,pozytywny
poprawiać,pozytywny
wzmacniać,pozytywny
zabezpieczać,pozytywny
demokratyzacja,pozytywny
integracyjny,pozytywny
pokojowy,pozytywny
prorozwojowy,pozytywny
proobywatelski,pozytywny
prounijny,pozytywny
kolesiostwo,negatywny
łapownictwo,negatywny
złodziejstwo,negatywny
reżim,negatywny
prześladowanie,negatywny
podsłuch,negatywny
segregacja,negatywny
rasizm,negatywny
szowinizm,negatywny
nazizm,negatywny
komunizm,negatywny
zacofanie,negatywny
drożyzna,negatywny
nieład,negatywny
dywersja,negatywny
zaprzaństwo,negatywny
targowica,negatywny
spisek,negatywny
zmowa,negatywny
układ,negatywny
klika,negatywny
sitwa,negatywny
kasta,negatywny
plutokracja,negatywny
biurokracja,negatywny
prostactwo,negatywny
buta,negatywny
faryzeizm,negatywny
zakłamanie,negatywny
obmowa,negatywny
oszczerstwo,negatywny
zniesławienie,negatywny
szkalowanie,negatywny
nienawiść,negatywny
wrogość,negatywny
okrucieństwo,negatywny
terroryzm,negatywny
ekstremizm,negatywny
radykalizm,negatywny
awanturnictwo,negatywny
kłótnia,negatywny
spór,negatywny
antagonizm,negatywny
waśń,negatywny
indolencja,negatywny
niegospodarność,negatywny
rozrzutność,negatywny
chciwość,negatywny
prywata,negatywny
karierowiczostwo,negatywny
serwilizm,negatywny
poddaństwo,negatywny
uległość,negatywny
kompromitacja,negatywny
blamaż,negatywny
klęska,negatywny
sromota,negatywny
infamia,negatywny
banicja,negatywny
sankcje,negatywny
embargo,negatywny
restrykcje,negatywny
ucisk,negatywny
ciemiężenie,negatywny
rabunek,negatywny
plądrowanie,negatywny
sprzeniewierzenie,negatywny
warcholstwo,negatywny
awantura,negatywny
błazenada,negatywny
farsa,negatywny
hucpa,negatywny
manipulant,negatywny
prowokator,negatywny
zdrajca,negatywny
oszust,negatywny
złodziej,negatywny
aferzysta,negatywny
karierowicz,negatywny
synekura,negatywny
pasożytnictwo,negatywny
populista,negatywny
oportunista,negatywny
ignorant,negatywny
laik,negatywny
nieuk,negatywny
partacz,negatywny
szkodnik,negatywny
warchoł,negatywny
pieniacz,negatywny
mafia,negatywny
gangsterstwo,negatywny
przymus,negatywny
dręczenie,negatywny
nękanie,negatywny
zastraszanie,negatywny
terror,negatywny
agresor,negatywny
okupant,negatywny
najeźdźca,negatywny
wróg,negatywny
przeciwnik,negatywny
antagonista,negatywny
konspirator,negatywny
spiskowiec,negatywny
deficyt,negatywny
bankructwo,negatywny
niewypłacalność,negatywny
głód,negatywny
ciemnogród,negatywny
infantylizm,negatywny
krótkowzroczność,negatywny
kłamać,negatywny
kraść,negatywny
grabić,negatywny
ruinować,negatywny
paraliżować,negatywny
kompromitować,negatywny
dyskryminować,negatywny
prześladować,negatywny
inwigilować,negatywny
podsłuchiwać,negatywny
represjonować,negatywny
marginalizować,negatywny
polaryzować,negatywny
skłócać,negatywny
antagonizować,negatywny
podsycać,negatywny
podważać,negatywny
osłabiać,negatywny
destabilizować,negatywny
sabotować,negatywny
zdradzać,negatywny
wyzyskiwać,negatywny
uciskać,negatywny
gnębić,negatywny
cenzurować,negatywny
hamować,negatywny
marnotrawić,negatywny
trwonić,negatywny
zadłużać,negatywny
straszyć,negatywny
szantażować,negatywny
szkalować,negatywny
oczerniać,negatywny
pomawiać,negatywny
obmawiać,negatywny
szczuć,negatywny
judzić,negatywny
podburzać,negatywny
prowokować,negatywny
okradać,negatywny
łupić,negatywny
lekceważyć,negatywny
ignorować,negatywny
zaniechać,negatywny
zaprzepaścić,negatywny
zmarnować,negatywny
ośmieszyć,negatywny
poniżyć,negatywny
zastraszzyć,negatywny
skorumpować,negatywny
zdemolować,negatywny
podzielić,negatywny
skorumpowany,negatywny
złodziejski,negatywny
oszukańczy,negatywny
propagandowy,negatywny
cenzorski,negatywny
dyktatorski,negatywny
reżimowy,negatywny
opresyjny,negatywny
dyskryminacyjny,negatywny
dyskryminujący,negatywny
wykluczający,negatywny
rasistowski,negatywny
ksenofobiczny,negatywny
szowinistyczny,negatywny
nacjonalistyczny,negatywny
faszystowski,negatywny
nazistowski,negatywny
komunistyczny,negatywny
zacofany,negatywny
stagnacyjny,negatywny
regresywny,negatywny
upadły,negatywny
zrujnowany,negatywny
zniszczony,negatywny
zdewastowany,negatywny
zdegradowany,negatywny
deficytowy,negatywny
kryzysowy,negatywny
inflacyjny,negatywny
drogi,negatywny
ubogi,negatywny
nędzny,negatywny
bezrobotny,negatywny
anarchistyczny,negatywny
bezwładny,negatywny
sparaliżowany,negatywny
sabotażowy,negatywny
zdradziecki,negatywny
spiskowy,negatywny
układowy,negatywny
klikowy,negatywny
kastowy,negatywny
oligarchiczny,negatywny
biurokratyczny,negatywny
chamski,negatywny
prostacki,negatywny
arogancki,negatywny
pyszny,negatywny
butny,negatywny
bezczelny,negatywny
hipokrytyczny,negatywny
obłudny,negatywny
faryzejski,negatywny
zakłamany,negatywny
oszczerczy,negatywny
szkalujący,negatywny
nienawistny,negatywny
wrogi,negatywny
okrutny,negatywny
terrorystyczny,negatywny
ekstremistyczny,negatywny
radykalny,negatywny
populistyczny,negatywny
demagogiczny,negatywny
pienacki,negatywny
awanturniczy,negatywny
konfliktowy,negatywny
spolaryzowany,negatywny
podzielony,negatywny
rozbity,negatywny
antagonistyczny,negatywny
nieudolny,negatywny
indolentny,negatywny
niegospodarny,negatywny
chciwy,negatywny
pazerny,negatywny
karierowiczowski,negatywny
serwilistyczny,negatywny
uległy,negatywny
skompromitowany,negatywny
przegrany,negatywny
klęskowy,negatywny
katastrofalny,negatywny
dramatyczny,negatywny
tragiczny,negatywny
haniebny,negatywny
wstydliwy,negatywny
zhańbiony,negatywny
izolowany,negatywny
zablokowany,negatywny
uciemiężony,negatywny
wyzyskiwany,negatywny
zrabowany,negatywny
zdefraudowany,negatywny
bezkarny,negatywny
samowolny,negatywny
warcholski,negatywny
obstrukcyjny,negatywny
antydemokratyczny,negatywny
antyobywatelski,negatywny
antypolski,negatywny
antyunijny,negatywny
antyludzki,negatywny
nieludzki,negatywny
podły,negatywny
nikczemny,negatywny
podstępny,negatywny
perfidny,negatywny
jadowity,negatywny
toksyczny,negatywny
szkodliwy,negatywny
zgubny,negatywny
niszczycielski,negatywny
destruktywny,negatywny
fatalny,negatywny
niebezpieczny,negatywny
groźny,negatywny
straszny,negatywny
okropny,negatywny
potworny,negatywny
ohydny,negatywny
obrzydliwy,negatywny
wstrętny,negatywny
odrażający,negatywny
obmierzły,negatywny
niewiarygodny,negatywny
nierzetelny,negatywny
niepodległość,pozytywny
swoboda,pozytywny
konstytucyjność,pozytywny
legalizm,pozytywny
akceptacja,pozytywny
fachowość,pozytywny
obiektywizm,pozytywny
bezstronność,pozytywny
niezawisłość,pozytywny
obrona,pozytywny
pokój,pozytywny
pojednanie,pozytywny
koalicja,pozytywny
asystencja,pozytywny
subsydiarność,pozytywny
pomocniczość,pozytywny
samorządność,pozytywny
decentralizacja,pozytywny
nowoczesność,pozytywny
restrukturyzacja,pozytywny
rozkwit,pozytywny
bogactwo,pozytywny
zamożność,pozytywny
pomyślność,pozytywny
osiągnięcie,pozytywny
triumf,pozytywny
zasługa,pozytywny
awans,pozytywny
prestiż,pozytywny
autorytet,pozytywny
gospodarność,pozytywny
owocność,pozytywny
produktywność,pozytywny
rozsądek,pozytywny
rozwaga,pozytywny
mądrość,pozytywny
patriotyzm,pozytywny
proobywatelskość,pozytywny
podmiotowość,pozytywny
lider,pozytywny
przywódca,pozytywny
bohater,pozytywny
patriota,pozytywny
reformator,pozytywny
wizjoner,pozytywny
budowniczy,pozytywny
obrońca,pozytywny
gwarant,pozytywny
orędownik,pozytywny
zwolennik,pozytywny
sympatyk,pozytywny
sojusznik,pozytywny
partner,pozytywny
przyjaciel,pozytywny
gospodarz,pozytywny
zarządca,pozytywny
fachowiec,pozytywny
ekspert,pozytywny
wzór,pozytywny
ideał,pozytywny
konsensus,pozytywny
reformować,pozytywny
usprawniać,pozytywny
stabilizować,pozytywny
wspierać,pozytywny
jednoczyć,pozytywny
gwarantować,pozytywny
służyć,pozytywny
oczyszczać,pozytywny
uzdrawiać,pozytywny
ratować,pozytywny
pomagać,pozytywny
współdziałać,pozytywny
współpracować,pozytywny
jednać,pozytywny
godzić,pozytywny
porozumiewać,pozytywny
integrować,pozytywny
akceptować,pozytywny
szanować,pozytywny
doceniać,pozytywny
nagradzać,pozytywny
promować,pozytywny
unowocześniać,pozytywny
ułatwiać,pozytywny
udostępniać,pozytywny
wyzwalać,pozytywny
osswobadzać,pozytywny
uwalniać,pozytywny
bronić,pozytywny
ocalić,pozytywny
polepszać,pozytywny
ulepszać,pozytywny
naprawiać,pozytywny
sanować,pozytywny
transparentny,pozytywny
jawny,pozytywny
przejrzysty,pozytywny
suwerenny,pozytywny
niepodległy,pozytywny
wolny,pozytywny
swobodny,pozytywny
praworządny,pozytywny
konstytucyjny,pozytywny
legalny,pozytywny
pluralistyczny,pozytywny
tolerancyjny,pozytywny
fachowy,pozytywny
obiektywny,pozytywny
bezstronny,pozytywny
niezależny,pozytywny
niezawisły,pozytywny
ochronny,pozytywny
obronny,pozytywny
pojednany,pozytywny
zgodny,pozytywny
porozumiewawczy,pozytywny
dialogowy,pozytywny
współpracujący,pozytywny
koalicyjny,pozytywny
zjednoczony,pozytywny
solidarny,pozytywny
wspierający,pozytywny
pomocny,pozytywny
pomocniczy,pozytywny
samorządowy,pozytywny
zdecentralizowany,pozytywny
rozwinięty,pozytywny
postępowy,pozytywny
nowoczesny,pozytywny
innowacyjny,pozytywny
reformatorski,pozytywny
modernizacyjny,pozytywny
inwestycyjny,pozytywny
rosnący,pozytywny
rozkwitający,pozytywny
bogaty,pozytywny
zamożny,pozytywny
pomyślny,pozytywny
udany,pozytywny
triumfalny,pozytywny
zwycięski,pozytywny
zasłużony,pozytywny
prestiżowy,pozytywny
autorytatywny,pozytywny
zaufany,pozytywny
gospodarny,pozytywny
owocny,pozytywny
produktywny,pozytywny
rozsądny,pozytywny
rozważny,pozytywny
mądry,pozytywny
patriotyczny,pozytywny
obywatelski,pozytywny
podmiotowy,pozytywny
partnerski,pozytywny
